latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.4094903,-76.4563,967.0,-18000,America/Bogota,GMT-5

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2015-01-01,25.0,16.2,6.60
2015-01-02,26.9,14.6,0.00
2015-01-03,27.2,16.1,0.00
2015-01-04,26.8,15.2,0.00
2015-01-05,26.6,16.2,0.00
2015-01-06,25.9,15.5,0.00
2015-01-07,26.2,16.3,0.60
2015-01-08,25.5,18.2,0.40
2015-01-09,25.6,17.4,1.30
2015-01-10,26.2,17.5,0.00
2015-01-11,25.9,17.0,0.00
2015-01-12,26.2,18.2,1.30
2015-01-13,25.6,19.5,2.20
2015-01-14,25.1,18.0,9.00
2015-01-15,24.7,18.4,2.70
2015-01-16,24.5,17.4,3.40
2015-01-17,23.5,17.5,6.70
2015-01-18,23.4,18.4,13.80
2015-01-19,23.9,18.5,1.80
2015-01-20,23.5,18.3,1.60
2015-01-21,22.6,18.4,12.70
2015-01-22,22.4,17.6,16.00
2015-01-23,22.9,17.2,3.30
2015-01-24,23.7,18.9,2.40
2015-01-25,24.7,19.1,6.20
2015-01-26,24.7,17.3,2.90
2015-01-27,23.6,18.4,26.00
2015-01-28,24.7,17.4,2.60
2015-01-29,26.3,16.3,0.50
2015-01-30,24.5,17.4,2.30
2015-01-31,25.1,18.1,1.20
2015-02-01,26.5,17.4,2.00
2015-02-02,25.9,17.1,2.00
2015-02-03,24.8,18.1,0.30
2015-02-04,25.6,18.8,5.20
2015-02-05,25.0,18.5,13.60
2015-02-06,22.3,18.2,2.90
2015-02-07,20.9,18.3,20.10
2015-02-08,21.7,18.1,33.10
2015-02-09,22.0,17.9,25.50
2015-02-10,22.9,17.9,10.30
2015-02-11,25.7,19.5,1.50
2015-02-12,24.9,19.7,7.20
2015-02-13,26.6,17.7,1.70
2015-02-14,27.0,17.5,1.70
2015-02-15,26.1,18.9,6.30
2015-02-16,26.7,18.6,0.90
2015-02-17,25.9,19.0,0.20
2015-02-18,24.6,18.8,0.40
2015-02-19,23.6,18.5,6.00
2015-02-20,23.3,18.0,1.60
2015-02-21,25.6,15.5,2.90
2015-02-22,26.9,18.8,0.60
2015-02-23,25.5,19.3,2.30
2015-02-24,24.0,17.2,4.00
2015-02-25,24.4,18.9,1.60
2015-02-26,25.3,18.9,0.40
2015-02-27,25.5,17.5,4.40
2015-02-28,25.6,16.5,2.30
2015-03-01,25.1,18.7,12.00
2015-03-02,23.8,18.9,13.20
2015-03-03,23.5,19.6,8.20
2015-03-04,24.6,17.8,24.10
2015-03-05,25.0,19.2,37.00
2015-03-06,24.1,18.9,8.70
2015-03-07,25.0,18.0,3.50
2015-03-08,27.8,17.7,0.90
2015-03-09,26.5,18.7,1.30
2015-03-10,26.6,20.1,1.80
