latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.2214413,-75.47659,1493.0,-18000,America/Bogota,GMT-5

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2015-01-01,26.1,15.9,0.10
2015-01-02,27.5,13.9,0.00
2015-01-03,27.7,13.8,0.00
2015-01-04,27.7,13.5,0.00
2015-01-05,27.4,13.5,0.00
2015-01-06,27.7,12.5,0.00
2015-01-07,26.6,12.7,0.20
2015-01-08,26.5,14.3,0.00
2015-01-09,26.9,14.5,0.00
2015-01-10,27.0,15.0,0.00
2015-01-11,27.0,14.9,0.00
2015-01-12,26.5,15.4,0.00
2015-01-13,25.6,14.8,0.00
2015-01-14,25.8,16.2,1.10
2015-01-15,25.1,17.1,2.10
2015-01-16,25.4,16.4,4.00
2015-01-17,23.2,16.1,13.90
2015-01-18,24.3,14.5,10.00
2015-01-19,25.1,15.0,0.50
2015-01-20,23.5,15.7,0.90
2015-01-21,21.9,15.3,15.60
2015-01-22,22.2,15.1,13.40
2015-01-23,22.9,14.8,6.10
2015-01-24,23.6,14.3,5.60
2015-01-25,25.3,14.8,1.10
2015-01-26,25.3,14.3,1.00
2015-01-27,24.3,16.2,6.40
2015-01-28,24.7,14.7,0.70
2015-01-29,25.9,14.1,0.00
2015-01-30,24.1,15.8,8.00
2015-01-31,24.4,14.2,0.80
2015-02-01,26.3,15.3,0.10
2015-02-02,24.5,13.6,0.00
2015-02-03,25.7,15.0,1.50
2015-02-04,26.0,14.6,0.00
2015-02-05,25.7,15.2,1.30
2015-02-06,23.6,14.9,4.00
2015-02-07,23.9,15.6,10.70
2015-02-08,23.1,15.7,11.80
2015-02-09,21.8,16.0,10.90
2015-02-10,22.4,15.2,4.10
2015-02-11,24.2,15.6,0.90
2015-02-12,24.9,15.5,3.40
2015-02-13,25.9,15.4,0.30
2015-02-14,25.7,14.8,1.00
2015-02-15,26.0,16.3,3.30
2015-02-16,26.5,16.4,0.30
2015-02-17,26.3,15.7,4.10
2015-02-18,25.3,16.3,5.40
2015-02-19,24.2,15.9,9.40
2015-02-20,23.8,15.3,4.60
2015-02-21,26.0,13.6,1.90
2015-02-22,27.0,15.4,0.10
2015-02-23,26.7,13.8,0.20
2015-02-24,24.3,14.9,1.20
2015-02-25,25.5,15.8,0.50
2015-02-26,25.2,16.2,5.50
2015-02-27,25.9,15.7,7.20
2015-02-28,26.9,14.8,5.00
2015-03-01,26.2,14.7,3.30
2015-03-02,24.9,15.2,3.80
2015-03-03,26.7,16.3,0.60
2015-03-04,26.4,17.0,1.30
2015-03-05,25.4,16.4,3.50
2015-03-06,24.7,16.5,5.70
2015-03-07,25.6,16.1,1.00
2015-03-08,26.7,16.0,0.00
2015-03-09,27.1,16.4,0.00
2015-03-10,26.8,15.9,0.00
2015-03-11,28.0,16.3,0.40
2015-03-12,26.9,15.1,1.30
2015-03-13,25.2,15.7,8.60
2015-03-14,24.8,16.0,14.10
2015-03-15,24.5,15.9,2.80
2015-03-16,24.4,16.3,1.00
2015-03-17,23.5,15.7,2.00
2015-03-18,21.7,16.8,18.50
2015-03-19,22.2,15.9,13.40
2015-03-20,21.1,16.0,14.50
2015-03-21,22.6,15.8,11.90
2015-03-22,23.1,15.1,5.00
2015-03-23,23.3,14.0,10.10
2015-03-24,24.9,14.1,2.40
2015-03-25,25.2,15.0,8.70
2015-03-26,24.8,15.3,1.20
2015-03-27,25.3,14.3,0.20
2015-03-28,24.3,15.4,9.00
2015-03-29,22.2,15.4,11.80
2015-03-30,23.8,16.7,8.60
2015-03-31,23.6,14.8,3.00
2015-04-01,25.4,15.8,11.00
2015-04-02,25.9,15.5,6.50
2015-04-03,24.6,16.4,13.10
2015-04-04,24.6,15.3,3.50
2015-04-05,24.0,15.2,7.80
2015-04-06,25.0,15.2,3.40
2015-04-07,25.0,14.9,5.20
2015-04-08,21.0,15.4,9.50
2015-04-09,25.4,15.8,0.90
2015-04-10,25.9,15.9,2.00
2015-04-11,26.0,14.5,0.90
2015-04-12,26.4,15.3,1.50
2015-04-13,25.6,15.2,8.40
2015-04-14,22.9,15.5,11.60
2015-04-15,23.3,15.4,13.70
2015-04-16,21.9,16.5,17.50
2015-04-17,21.6,16.3,17.90
2015-04-18,25.2,15.9,9.10
2015-04-19,24.7,14.9,4.30
2015-04-20,24.8,15.4,14.10
2015-04-21,22.3,16.4,14.40
2015-04-22,25.9,14.2,0.80
2015-04-23,27.2,14.9,5.60
2015-04-24,26.1,14.8,4.80
2015-04-25,26.0,15.1,1.00
2015-04-26,27.0,15.2,1.60
2015-04-27,27.6,15.4,1.40
2015-04-28,27.1,16.4,0.10
2015-04-29,26.7,16.1,0.00
2015-04-30,26.1,15.5,3.30
